Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,4.550000,4.720000,4.300000,4.550000,4.550000,63000
2007-01-04,4.350000,4.500000,4.350000,4.350000,4.350000,27000
2007-01-05,4.090000,4.350000,4.020000,4.090000,4.090000,37700
2007-01-08,4.400000,4.440000,4.110000,4.400000,4.400000,13800
2007-01-09,4.520000,4.560000,4.460000,4.520000,4.520000,49100
2007-01-10,4.510000,4.510000,4.350000,4.510000,4.510000,5700
2007-01-11,4.550000,4.550000,4.490000,4.550000,4.550000,7100
2007-01-12,4.630000,4.680000,4.540000,4.630000,4.630000,52100
2007-01-16,4.660000,4.740000,4.660000,4.660000,4.660000,59100
2007-01-17,4.790000,4.790000,4.720000,4.790000,4.790000,22800
2007-01-18,4.820000,4.860000,4.820000,4.820000,4.820000,12900
2007-01-19,4.620000,4.780000,4.620000,4.620000,4.620000,14300
2007-01-22,4.500000,4.500000,4.480000,4.500000,4.500000,35800
2007-01-23,4.590000,4.590000,4.490000,4.590000,4.590000,4600
2007-01-24,4.590000,4.590000,4.580000,4.590000,4.590000,5800
2007-01-25,4.680000,4.760000,4.680000,4.680000,4.680000,14500
2007-01-26,4.680000,4.760000,4.590000,4.680000,4.680000,8000
2007-01-29,4.680000,4.760000,4.680000,4.680000,4.680000,4500
2007-01-30,4.670000,4.730000,4.510000,4.670000,4.670000,30300
2007-01-31,4.620000,4.680000,4.560000,4.620000,4.620000,21900
2007-02-01,4.600000,4.650000,4.570000,4.600000,4.600000,15000
2007-02-02,4.400000,4.400000,4.190000,4.400000,4.400000,39800
2007-02-05,4.400000,4.400000,4.400000,4.400000,4.400000,0
2007-02-06,4.300000,4.310000,4.300000,4.300000,4.300000,89400
2007-02-07,4.230000,4.320000,4.160000,4.230000,4.230000,121300
2007-02-08,4.130000,4.250000,4.000000,4.130000,4.130000,217500
2007-02-09,4.210000,4.270000,3.980000,4.210000,4.210000,183800
2007-02-12,4.080000,4.160000,4.080000,4.080000,4.080000,74800
2007-02-13,4.350000,4.350000,4.300000,4.350000,4.350000,76000
2007-02-14,4.620000,4.660000,4.520000,4.620000,4.620000,114600
2007-02-15,4.710000,4.740000,4.630000,4.710000,4.710000,45000
2007-02-16,4.920000,4.970000,4.660000,4.920000,4.920000,50600
2007-02-20,5.060000,5.270000,5.060000,5.060000,5.060000,105200
2007-02-21,5.050000,5.110000,5.030000,5.050000,5.050000,78000
2007-02-22,5.040000,5.060000,4.950000,5.040000,5.040000,131900
2007-02-23,5.250000,5.260000,5.100000,5.250000,5.250000,42800
2007-02-26,5.480000,5.480000,5.250000,5.480000,5.480000,50200
2007-02-27,4.950000,5.170000,4.840000,4.950000,4.950000,44600
2007-02-28,4.640000,4.750000,4.470000,4.640000,4.640000,85100
2007-03-01,4.670000,4.720000,4.540000,4.670000,4.670000,133500
2007-03-02,4.470000,4.600000,4.300000,4.470000,4.470000,147000
2007-03-05,4.200000,4.240000,4.160000,4.200000,4.200000,95400
2007-03-06,4.520000,4.520000,4.220000,4.520000,4.520000,27900
2007-03-07,4.400000,4.710000,4.400000,4.400000,4.400000,54000
2007-03-08,4.630000,4.680000,4.550000,4.630000,4.630000,26400
2007-03-09,4.660000,4.660000,4.510000,4.660000,4.660000,15800
2007-03-12,4.620000,4.710000,4.550000,4.620000,4.620000,14700
2007-03-13,4.370000,4.580000,4.370000,4.370000,4.370000,34100
2007-03-14,4.150000,4.270000,4.050000,4.150000,4.150000,58900
2007-03-15,4.400000,4.430000,4.350000,4.400000,4.400000,1600
2007-03-16,4.600000,4.700000,4.580000,4.600000,4.600000,45900
2007-03-19,4.610000,4.610000,4.600000,4.610000,4.610000,9000
2007-03-20,4.620000,4.740000,4.570000,4.620000,4.620000,43100
2007-03-21,4.290000,4.480000,4.230000,4.290000,4.290000,86500
2007-03-22,4.380000,4.380000,4.270000,4.380000,4.380000,26800
2007-03-23,4.380000,4.440000,4.310000,4.370000,4.370000,45600
2007-03-26,4.290000,4.370000,4.290000,4.290000,4.290000,24400
2007-03-27,4.310000,4.390000,4.310000,4.310000,4.310000,30800
2007-03-28,4.290000,4.380000,4.290000,4.290000,4.290000,13800
2007-03-29,4.250000,4.380000,4.250000,4.250000,4.250000,58500
2007-03-30,4.370000,4.370000,4.270000,4.370000,4.370000,16000
2007-04-02,4.300000,4.340000,4.280000,4.300000,4.300000,26400
2007-04-03,4.350000,4.370000,4.280000,4.350000,4.350000,39800
2007-04-04,4.370000,4.370000,4.300000,4.370000,4.370000,25400
2007-04-05,4.410000,4.450000,4.370000,4.410000,4.410000,32300
2007-04-09,4.410000,4.430000,4.370000,4.410000,4.410000,27800
2007-04-10,4.400000,4.600000,4.370000,4.400000,4.400000,31000
2007-04-11,4.390000,4.470000,4.370000,4.390000,4.390000,36700
2007-04-12,4.500000,4.500000,4.500000,4.500000,4.500000,2000
2007-04-13,4.680000,4.680000,4.500000,4.680000,4.680000,33400
2007-04-16,4.900000,4.900000,4.780000,4.900000,4.900000,6100
2007-04-17,4.720000,4.900000,4.710000,4.720000,4.720000,86300
2007-04-18,4.810000,4.870000,4.700000,4.810000,4.810000,14500
2007-04-19,4.690000,4.790000,4.620000,4.690000,4.690000,90800
2007-04-20,4.770000,4.910000,4.730000,4.770000,4.770000,57800
2007-04-23,4.610000,4.770000,4.610000,4.610000,4.610000,19300
2007-04-24,4.520000,4.640000,4.520000,4.520000,4.520000,3000
2007-04-25,4.420000,4.510000,4.380000,4.420000,4.420000,54500
2007-04-26,4.340000,4.440000,4.290000,4.340000,4.340000,66100
2007-04-27,4.150000,4.390000,4.130000,4.150000,4.150000,66800
2007-04-30,4.050000,4.070000,3.950000,4.050000,4.050000,82800
2007-05-01,4.270000,4.350000,4.160000,4.270000,4.270000,78100
2007-05-02,4.490000,4.500000,4.370000,4.490000,4.490000,63300
2007-05-03,4.390000,4.500000,4.350000,4.390000,4.390000,77500
2007-05-04,4.400000,4.460000,4.350000,4.400000,4.400000,43400
2007-05-07,4.620000,4.640000,4.480000,4.620000,4.620000,40400
2007-05-08,4.470000,4.570000,4.460000,4.470000,4.470000,5500
2007-05-09,4.490000,4.500000,4.390000,4.490000,4.490000,17800
2007-05-10,4.510000,4.510000,4.350000,4.510000,4.510000,33600
2007-05-11,4.490000,4.580000,4.400000,4.490000,4.490000,21500
2007-05-14,4.300000,4.540000,4.280000,4.300000,4.300000,53100
2007-05-15,4.170000,4.370000,4.140000,4.170000,4.170000,22000
2007-05-16,4.230000,4.280000,4.030000,4.230000,4.230000,42700
2007-05-17,4.250000,4.320000,4.080000,4.250000,4.250000,59100
2007-05-18,4.330000,4.330000,4.150000,4.330000,4.330000,11300
2007-05-21,4.330000,4.330000,4.330000,4.330000,4.330000,500
2007-05-22,4.060000,4.350000,4.060000,4.060000,4.060000,23200
2007-05-23,4.100000,4.300000,4.100000,4.100000,4.100000,21000
2007-05-24,3.830000,4.050000,3.590000,3.830000,3.830000,40100
2007-05-25,3.920000,4.080000,3.800000,3.920000,3.920000,58100
2007-05-29,3.970000,3.990000,3.870000,3.970000,3.970000,56200
2007-05-30,3.970000,4.050000,3.800000,3.970000,3.970000,22400
2007-05-31,4.180000,4.190000,4.130000,4.180000,4.180000,20900
2007-06-01,4.390000,4.390000,4.280000,4.390000,4.390000,40400
2007-06-04,4.410000,4.610000,4.350000,4.410000,4.410000,31900
2007-06-05,4.350000,4.390000,4.270000,4.350000,4.350000,16100
2007-06-06,4.300000,4.360000,4.190000,4.300000,4.300000,50700
2007-06-07,4.070000,4.280000,4.070000,4.070000,4.070000,13600
2007-06-08,4.000000,4.060000,3.960000,4.000000,4.000000,21700
2007-06-11,3.960000,4.050000,3.910000,3.960000,3.960000,49900
2007-06-12,3.820000,3.890000,3.810000,3.820000,3.820000,18800
2007-06-13,3.770000,3.870000,3.730000,3.770000,3.770000,29500
2007-06-14,4.080000,4.080000,3.830000,4.080000,4.080000,20700
2007-06-15,4.150000,4.150000,3.940000,4.150000,4.150000,23100
2007-06-18,4.250000,4.290000,4.130000,4.250000,4.250000,38200
2007-06-19,4.350000,4.390000,4.260000,4.350000,4.350000,23400
2007-06-20,4.450000,4.490000,4.440000,4.450000,4.450000,21300
2007-06-21,4.440000,4.450000,4.330000,4.440000,4.440000,7500
2007-06-22,4.470000,4.470000,4.440000,4.470000,4.470000,9200
2007-06-25,4.360000,4.490000,4.250000,4.360000,4.360000,4500
2007-06-26,3.960000,4.210000,3.960000,3.960000,3.960000,24100
2007-06-27,4.050000,4.050000,3.860000,4.050000,4.050000,11300
2007-06-28,4.140000,4.160000,4.120000,4.140000,4.140000,3000
2007-06-29,4.140000,4.240000,4.140000,4.140000,4.140000,2200
2007-07-02,4.140000,4.140000,4.140000,4.140000,4.140000,0
2007-07-03,4.330000,4.350000,4.200000,4.330000,4.330000,7600
2007-07-05,4.300000,4.360000,4.200000,4.300000,4.300000,19000
2007-07-06,4.620000,4.620000,4.230000,4.620000,4.620000,19300
2007-07-09,4.650000,4.660000,4.450000,4.650000,4.650000,25600
2007-07-10,4.650000,4.710000,4.590000,4.650000,4.650000,29900
2007-07-11,4.720000,4.720000,4.610000,4.720000,4.720000,33000
2007-07-12,4.840000,4.910000,4.500000,4.840000,4.840000,21900
2007-07-13,4.780000,4.880000,4.780000,4.780000,4.780000,49900
2007-07-16,4.820000,4.870000,4.740000,4.820000,4.820000,12200
2007-07-17,4.800000,4.800000,4.700000,4.800000,4.800000,12000
2007-07-18,4.790000,4.840000,4.730000,4.790000,4.790000,16400
2007-07-19,4.700000,4.780000,4.670000,4.700000,4.700000,3000
2007-07-20,4.660000,4.720000,4.550000,4.660000,4.660000,13200
2007-07-23,4.580000,4.660000,4.580000,4.580000,4.580000,4900
2007-07-24,4.710000,4.710000,4.540000,4.710000,4.710000,28600
2007-07-25,4.520000,4.600000,4.500000,4.520000,4.520000,10600
2007-07-26,4.440000,4.500000,4.260000,4.440000,4.440000,25800
2007-07-27,4.390000,4.400000,4.330000,4.390000,4.390000,13100
2007-07-30,4.300000,4.360000,4.250000,4.300000,4.300000,14800
2007-07-31,4.300000,4.300000,4.300000,4.300000,4.300000,300
2007-08-01,4.500000,4.530000,4.390000,4.500000,4.500000,17400
2007-08-02,4.460000,4.480000,4.450000,4.460000,4.460000,5200
2007-08-03,4.230000,4.450000,4.170000,4.230000,4.230000,14500
2007-08-06,4.230000,4.230000,4.230000,4.230000,4.230000,0
2007-08-07,4.020000,4.140000,3.880000,4.020000,4.020000,65000
2007-08-08,3.990000,4.080000,3.990000,3.990000,3.990000,31600
2007-08-09,3.660000,3.840000,3.600000,3.660000,3.660000,35200
2007-08-10,3.820000,3.820000,3.320000,3.820000,3.820000,49600
2007-08-13,3.800000,3.800000,3.590000,3.800000,3.800000,141500
2007-08-14,3.740000,3.760000,3.620000,3.740000,3.740000,26200
2007-08-15,3.330000,3.540000,3.330000,3.330000,3.330000,106500
2007-08-16,3.050000,3.080000,2.650000,3.050000,3.050000,111000
2007-08-17,3.110000,3.170000,2.910000,3.110000,3.110000,37600
2007-08-20,3.110000,3.740000,3.110000,3.110000,3.110000,25100
2007-08-21,3.120000,3.130000,3.070000,3.120000,3.120000,71700
2007-08-22,3.150000,3.230000,3.140000,3.150000,3.150000,14700
2007-08-23,3.030000,3.290000,3.030000,3.030000,3.030000,30900
2007-08-24,3.090000,3.130000,3.030000,3.090000,3.090000,21800
2007-08-27,3.200000,3.270000,3.150000,3.200000,3.200000,18600
2007-08-28,3.090000,3.210000,3.060000,3.090000,3.090000,13300
2007-08-29,2.990000,3.100000,2.990000,2.990000,2.990000,47800
2007-08-30,2.930000,3.050000,2.930000,2.930000,2.930000,18100
2007-08-31,3.110000,3.190000,3.100000,3.110000,3.110000,19700
2007-09-04,3.360000,3.360000,3.180000,3.360000,3.360000,38200
2007-09-05,3.210000,3.340000,3.210000,3.210000,3.210000,10100
2007-09-06,3.240000,3.360000,3.210000,3.240000,3.240000,67700
2007-09-07,3.330000,3.330000,3.280000,3.330000,3.330000,29800
2007-09-10,3.250000,3.400000,3.210000,3.250000,3.250000,35800
2007-09-11,3.300000,3.400000,3.240000,3.300000,3.300000,120900
2007-09-12,3.340000,3.370000,3.280000,3.340000,3.340000,17200
2007-09-13,3.230000,3.290000,3.200000,3.230000,3.230000,13000
2007-09-14,3.310000,3.310000,3.240000,3.310000,3.310000,4800
2007-09-17,3.270000,3.310000,3.220000,3.270000,3.270000,11600
2007-09-18,3.490000,3.520000,3.240000,3.490000,3.490000,12500
2007-09-19,3.400000,3.680000,3.400000,3.400000,3.400000,31000
2007-09-20,3.850000,3.900000,3.640000,3.850000,3.850000,44000
2007-09-21,3.760000,3.900000,3.710000,3.760000,3.760000,26900
2007-09-24,3.710000,3.810000,3.690000,3.710000,3.710000,52700
2007-09-25,3.590000,3.700000,3.580000,3.590000,3.590000,17400
2007-09-26,3.600000,3.600000,3.540000,3.600000,3.600000,10100
2007-09-27,3.710000,3.710000,3.640000,3.710000,3.710000,6700
2007-09-28,4.000000,4.010000,3.780000,4.000000,4.000000,42700
2007-10-01,3.860000,4.000000,3.840000,3.860000,3.860000,31400
2007-10-02,3.720000,3.750000,3.630000,3.720000,3.720000,44900
2007-10-03,3.740000,3.830000,3.690000,3.740000,3.740000,40500
2007-10-04,3.790000,3.830000,3.650000,3.790000,3.790000,40100
2007-10-05,3.900000,3.970000,3.800000,3.900000,3.900000,42100
2007-10-08,3.900000,3.900000,3.900000,3.900000,3.900000,0
