Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,57.849998,58.320000,56.750000,57.180000,41.482731,5691300
2007-01-04,57.080002,57.830002,56.610001,57.590000,41.780170,3237400
2007-01-05,57.500000,58.099998,57.150002,57.270000,41.548008,2962000
2007-01-08,57.189999,57.419998,56.930000,57.349998,41.606056,2874700
2007-01-09,57.450001,58.450001,57.450001,58.259998,42.266235,3820200
2007-01-10,57.939999,58.439999,57.849998,58.310001,42.302517,3369900
2007-01-11,58.349998,59.910000,58.250000,59.810001,43.390720,4874200
2007-01-12,59.799999,60.459999,59.509998,60.310001,43.753464,5133500
2007-01-16,60.220001,61.000000,60.080002,60.840000,44.137970,4575800
2007-01-17,60.930000,61.000000,60.080002,60.360001,43.789730,5104600
2007-01-18,59.570000,61.599998,59.570000,61.509998,44.624031,6335800
2007-01-19,61.869999,62.959999,61.529999,62.349998,45.233444,5996700
2007-01-22,62.349998,62.480000,61.290001,61.500000,44.616779,5511100
2007-01-23,61.369999,62.090000,60.990002,61.430000,44.566002,4265400
2007-01-24,61.369999,61.919998,61.160000,61.480000,44.602276,4031900
2007-01-25,61.450001,61.500000,60.570000,60.680000,44.021904,3644300
2007-01-26,60.680000,60.860001,59.970001,60.189999,43.666401,3237700
2007-01-29,60.189999,60.529999,59.910000,60.070000,43.579334,3067000
2007-01-30,60.490002,61.080002,59.880001,60.439999,43.847778,4402500
2007-01-31,60.490002,61.590000,60.349998,61.360001,44.515217,3207900
2007-02-01,61.290001,62.209999,61.070000,61.799999,44.834427,3858000
2007-02-02,61.900002,62.250000,61.480000,62.029999,45.001278,3276400
2007-02-05,62.029999,62.480000,61.799999,62.119999,45.066559,3096300
2007-02-06,62.119999,62.900002,62.009998,62.709999,45.494610,3118400
2007-02-07,62.939999,63.139999,62.360001,62.799999,45.559906,1858600
2007-02-08,63.099998,63.200001,62.060001,62.259998,45.168144,2856800
2007-02-09,62.240002,62.400002,61.130001,61.669998,44.740120,4963400
2007-02-12,61.639999,62.279999,61.509998,61.799999,44.834427,2929800
2007-02-13,62.020000,62.349998,61.770000,62.130001,45.073826,2265700
2007-02-14,62.099998,62.599998,61.900002,62.439999,45.298737,3264400
2007-02-15,62.220001,62.990002,62.080002,62.669998,45.553131,2074900
2007-02-16,62.400002,62.950001,62.150002,62.910000,45.727592,3454500
2007-02-20,63.150002,64.739998,63.049999,64.320000,46.752480,4695200
2007-02-21,64.000000,64.180000,63.369999,63.610001,46.236393,3049900
2007-02-22,63.360001,63.389999,62.680000,63.119999,45.880230,2945000
