Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,10.520000,10.620000,9.830000,9.970000,8.799927,2967400
2007-01-04,9.920000,10.040000,9.520000,9.600000,8.473350,2660000
2007-01-05,9.440000,9.440000,9.060000,9.430000,8.323304,3283700
2007-01-08,9.480000,9.550000,9.140000,9.410000,8.305648,2006200
2007-01-09,9.360000,9.430000,8.910000,9.050000,7.987899,3377400
2007-01-10,9.000000,9.300000,8.900000,9.220000,8.137951,2622300
2007-01-11,9.260000,9.590000,9.250000,9.560000,8.438044,2135800
2007-01-12,9.690000,9.890000,9.650000,9.820000,8.667533,1779900
2007-01-16,9.850000,9.860000,9.540000,9.580000,8.455700,2179300
2007-01-17,9.630000,9.940000,9.570000,9.830000,8.676358,1584200
2007-01-18,9.990000,10.060000,9.500000,9.640000,8.508657,2716500
2007-01-19,9.700000,9.790000,9.590000,9.700000,8.561616,1507100
2007-01-22,9.700000,9.940000,9.470000,9.520000,8.402739,1631400
2007-01-23,9.660000,10.210000,9.650000,10.210000,9.011764,2922200
2007-01-24,10.210000,10.500000,10.010000,10.500000,9.267728,2468200
2007-01-25,10.790000,10.840000,10.270000,10.350000,9.135331,3054900
2007-01-26,10.380000,10.560000,10.280000,10.420000,9.197114,1599200
2007-01-29,10.420000,10.530000,10.220000,10.250000,9.047069,1454700
2007-01-30,10.290000,10.510000,10.280000,10.370000,9.152984,1458400
2007-01-31,10.370000,10.870000,10.300000,10.800000,9.532519,2363700
2007-02-01,10.980000,11.090000,10.740000,10.820000,9.550172,2872000
2007-02-02,10.750000,10.750000,10.450000,10.620000,9.373642,1711400
2007-02-05,10.720000,10.790000,10.640000,10.680000,9.426604,1272400
2007-02-06,10.840000,10.870000,10.640000,10.810000,9.541348,1614000
2007-02-07,10.780000,10.990000,10.550000,10.620000,9.373642,1661500
2007-02-08,10.540000,10.880000,10.500000,10.850000,9.576653,1993000
2007-02-09,10.930000,11.040000,10.630000,10.730000,9.470735,2142800
2007-02-12,10.550000,10.740000,10.390000,10.490000,9.258901,1765500
2007-02-13,10.650000,10.780000,10.580000,10.640000,9.391298,1480800
2007-02-14,10.840000,10.940000,10.710000,10.810000,9.541348,2024700
